Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
USA,2002,October,Tuesday,Evening,Rural,Street,Windy,220.414651,1,37,18-25,Male,0.051921,0,Poor,1,2,Moderate,8,2,58.625720,7412.752760,Wet,Weather,4,40499.856982,22073.0,Europe,3866.273014
UK,2014,December,Saturday,Evening,Urban,Street,Windy,168.311358,3,96,18-25,Female,0.234893,1,Poor,1,1,Minor,6,1,58.041380,4458.628820,Snow-covered,Mechanical Failure,3,6486.600073,9534.0,North America,2333.916224
USA,2012,July,Sunday,Afternoon,Urban,Highway,Snowy,341.286506,4,62,41-60,Male,0.142366,0,Moderate,0,0,Moderate,13,4,42.374452,9856.915064,Wet,Speeding,4,29164.412982,58009.0,South America,4408.889129
UK,2017,May,Saturday,Evening,Urban,Main Road,Clear,489.384536,2,78,18-25,Male,0.120815,1,Good,2,0,Minor,6,3,48.554014,4958.646267,Icy,Distracted Driving,3,25797.212566,20907.0,Australia,2810.822423
Canada,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,348.344850,1,98,41-60,Male,0.155842,1,Poor,0,1,Moderate,13,4,18.318250,3843.191463,Icy,Distracted Driving,8,15605.293921,13584.0,South America,3883.645634
Germany,2023,June,Wednesday,Evening,Rural,Main Road,Foggy,351.740871,4,95,18-25,Male,0.055295,0,Good,1,0,Minor,1,0,37.405598,1907.208566,Icy,Speeding,3,18640.125887,50695.0,Asia,173.307333
Brazil,2023,January,Tuesday,Morning,Rural,Main Road,Foggy,95.563567,1,100,26-40,Male,0.077918,0,Good,2,0,Minor,5,4,17.054490,2706.253339,Dry,Drunk Driving,2,48161.129965,20260.0,Asia,4375.443810
Russia,2021,March,Wednesday,Afternoon,Urban,Street,Clear,74.112102,3,36,26-40,Female,0.063216,0,Moderate,0,1,Severe,16,3,55.558876,6860.161645,Dry,Speeding,9,24696.058692,8132.0,Asia,4196.244517
Australia,2002,May,Tuesday,Morning,Urban,Street,Rainy,276.612565,3,99,<18,Male,0.013100,0,Good,0,1,Minor,7,2,19.100498,1523.299088,Wet,Speeding,8,13486.716680,17608.0,Europe,2911.904030
USA,2022,November,Tuesday,Morning,Urban,Street,Windy,253.531380,3,44,61+,Female,0.140279,0,Poor,0,2,Severe,14,4,28.037108,7662.853082,Snow-covered,Speeding,6,3240.358544,27765.0,Asia,2949.568694